"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
1428,"Italien riksrep",1,0,"1",2,16,NA,5,5,5,5,4,1,4,1,1,1,1,1,1,1.19047619047619,1.19047619047619,0.90260106,21.4124740394816
1571,"Italien riksrep",1,0,"1",2,16,NA,3,3,3,2,2,2,2,1,0,0,1,NA,0,1.15384615384615,1.25,0.90260106,21.4124740394816
1234,"Italien riksrep",1,0,"1",3,9,NA,5,5,5,3,3,4,3,1,0,1,1,1,1,1.51515151515152,1.38888888888889,0.90260106,20.6309126790573
1204,"Italien riksrep",1,0,"1",3,9,NA,5,4,3,3,2,4,3,0,0,1,1,2,0,1.92307692307692,1.6,0.90260106,20.6309126790573
1339,"Italien riksrep",1,0,"1",3,20,NA,3,4,4,4,3,NA,3,0,0,0,1,2,1,1.42857142857143,1.48148148148148,0.90260106,19.4341992309909
1337,"Italien riksrep",1,0,"1",3,5,NA,4,5,4,4,5,4,5,1,1,0,1,2,0,1.48148148148148,1.92307692307692,0.90260106,18.423050960372
1494,"Italien riksrep",1,0,"1",3,6,NA,5,5,5,2,2,1,1,0,0,1,NA,2,0,2.27272727272727,1.25,0.90260106,30.6782977878343
1358,"Italien riksrep",1,0,"1",2,6,NA,2,1,5,2,2,2,2,0,1,0,1,NA,0,1.33333333333333,1.11111111111111,0.90260106,30.6782977878343
1316,"Italien riksrep",1,0,"1",3,6,NA,5,3,4,2,3,2,4,0,0,0,1,2,0,1.35135135135135,0.789473684210526,0.90260106,30.6782977878343
1230,"Italien riksrep",1,0,"1",3,4,NA,3,3,NA,4,4,4,4,0,1,0,1,NA,0,1.5,1.66666666666667,0.90260106,29.9320686058126
1257,"Italien riksrep",1,0,"1",3,4,NA,4,3,4,3,3,3,2,1,1,0,1,2,0,1.48148148148148,1.07142857142857,0.90260106,29.9320686058126
1594,"Italien riksrep",1,0,"1",3,4,NA,3,3,4,2,2,2,2,0,1,0,1,NA,0,1.36363636363636,1.30434782608696,0.90260106,29.9320686058126
